{'loss': 0.2504, 'grad_norm': 1.092309594154358, 'learning_rate': 3.562666666666667e-05, 'epoch': 0.86}
{'loss': 0.2452, 'grad_norm': 1.501860499382019, 'learning_rate': 3.536000000000001e-05, 'epoch': 0.88}
{'loss': 0.2242, 'grad_norm': 0.9121116995811462, 'learning_rate': 3.509333333333333e-05, 'epoch': 0.9}
{'loss': 0.2154, 'grad_norm': 1.0738229751586914, 'learning_rate': 3.482666666666667e-05, 'epoch': 0.91}
{'loss': 0.2067, 'grad_norm': 0.8297622799873352, 'learning_rate': 3.456e-05, 'epoch': 0.93}
{'loss': 0.196, 'grad_norm': 0.8379937410354614, 'learning_rate': 3.429333333333333e-05, 'epoch': 0.94}
{'loss': 0.1904, 'grad_norm': 0.8661667108535767, 'learning_rate': 3.402666666666667e-05, 'epoch': 0.96}
{'loss': 0.183, 'grad_norm': 0.8551101684570312, 'learning_rate': 3.376e-05, 'epoch': 0.98}
{'loss': 0.1738, 'grad_norm': 0.7545011639595032, 'learning_rate': 3.349333333333334e-05, 'epoch': 0.99}
{'loss': 0.168, 'grad_norm': 0.6669577956199646, 'learning_rate': 3.3226666666666665e-05, 'epoch': 1.01}
{'loss': 0.1596, 'grad_norm': 0.8611476421356201, 'learning_rate': 3.296e-05, 'epoch': 1.02}
{'loss': 0.1561, 'grad_norm': 0.633893609046936, 'learning_rate': 3.2693333333333334e-05, 'epoch': 1.04}
{'loss': 0.1633, 'grad_norm': 0.6659635901451111, 'learning_rate': 3.2426666666666666e-05, 'epoch': 1.06}
{'loss': 0.1497, 'grad_norm': 0.6146268248558044, 'learning_rate': 3.2160000000000004e-05, 'epoch': 1.07}
{'loss': 0.1449, 'grad_norm': 0.6612964868545532, 'learning_rate': 3.1893333333333335e-05, 'epoch': 1.09}
{'loss': 0.1529, 'grad_norm': 0.6222145557403564, 'learning_rate': 3.1626666666666667e-05, 'epoch': 1.1}
{'loss': 0.1352, 'grad_norm': 0.684682309627533, 'learning_rate': 3.136e-05, 'epoch': 1.12}
{'loss': 0.1316, 'grad_norm': 0.6053983569145203, 'learning_rate': 3.1093333333333336e-05, 'epoch': 1.14}
{'loss': 0.1386, 'grad_norm': 0.7539518475532532, 'learning_rate': 3.082666666666667e-05, 'epoch': 1.15}
{'loss': 0.1249, 'grad_norm': 0.5817652940750122, 'learning_rate': 3.056e-05, 'epoch': 1.17}
{'loss': 0.122, 'grad_norm': 0.5254772901535034, 'learning_rate': 3.0293333333333334e-05, 'epoch': 1.18}
{'loss': 0.1181, 'grad_norm': 0.5473451614379883, 'learning_rate': 3.0026666666666668e-05, 'epoch': 1.2}
{'loss': 0.1141, 'grad_norm': 0.5409607291221619, 'learning_rate': 2.976e-05, 'epoch': 1.22}
{'loss': 0.1109, 'grad_norm': 0.5003179311752319, 'learning_rate': 2.9493333333333334e-05, 'epoch': 1.23}
{'loss': 0.1134, 'grad_norm': 0.5473136305809021, 'learning_rate': 2.922666666666667e-05, 'epoch': 1.25}
{'loss': 0.1045, 'grad_norm': 0.464258074760437, 'learning_rate': 2.8960000000000004e-05, 'epoch': 1.26}
{'loss': 0.1067, 'grad_norm': 0.4290616512298584, 'learning_rate': 2.8693333333333332e-05, 'epoch': 1.28}
{'loss': 0.1044, 'grad_norm': 0.4725390076637268, 'learning_rate': 2.8426666666666667e-05, 'epoch': 1.3}
{'loss': 0.0989, 'grad_norm': 0.4402046203613281, 'learning_rate': 2.816e-05, 'epoch': 1.31}
{'loss': 0.0992, 'grad_norm': 0.4378037750720978, 'learning_rate': 2.7893333333333333e-05, 'epoch': 1.33}
{'loss': 0.0972, 'grad_norm': 0.502160370349884, 'learning_rate': 2.7626666666666668e-05, 'epoch': 1.34}
{'loss': 0.0957, 'grad_norm': 0.4202072322368622, 'learning_rate': 2.7360000000000002e-05, 'epoch': 1.36}
{'loss': 0.0925, 'grad_norm': 0.7825590968132019, 'learning_rate': 2.7093333333333337e-05, 'epoch': 1.38}
{'loss': 0.0886, 'grad_norm': 0.48140332102775574, 'learning_rate': 2.6826666666666665e-05, 'epoch': 1.39}
{'loss': 0.0892, 'grad_norm': 0.5068045258522034, 'learning_rate': 2.6560000000000003e-05, 'epoch': 1.41}
{'loss': 0.0887, 'grad_norm': 0.9646227955818176, 'learning_rate': 2.6293333333333338e-05, 'epoch': 1.42}
{'loss': 0.0873, 'grad_norm': 0.4421374499797821, 'learning_rate': 2.6026666666666666e-05, 'epoch': 1.44}
{'loss': 0.0835, 'grad_norm': 0.37884649634361267, 'learning_rate': 2.576e-05, 'epoch': 1.46}
{'loss': 0.0801, 'grad_norm': 0.4184434711933136, 'learning_rate': 2.5493333333333335e-05, 'epoch': 1.47}
{'loss': 0.0828, 'grad_norm': 0.39465391635894775, 'learning_rate': 2.5226666666666663e-05, 'epoch': 1.49}
{'loss': 0.0796, 'grad_norm': 0.45017242431640625, 'learning_rate': 2.496e-05, 'epoch': 1.5}
{'loss': 0.0775, 'grad_norm': 0.31494855880737305, 'learning_rate': 2.4693333333333336e-05, 'epoch': 1.52}
{'loss': 0.0773, 'grad_norm': 0.3758564591407776, 'learning_rate': 2.4426666666666668e-05, 'epoch': 1.54}
{'loss': 0.0747, 'grad_norm': 0.3399718701839447, 'learning_rate': 2.4160000000000002e-05, 'epoch': 1.55}
{'loss': 0.0748, 'grad_norm': 0.420768141746521, 'learning_rate': 2.3893333333333334e-05, 'epoch': 1.57}
{'loss': 0.0725, 'grad_norm': 0.36004194617271423, 'learning_rate': 2.362666666666667e-05, 'epoch': 1.58}
{'loss': 0.0733, 'grad_norm': 0.40888479351997375, 'learning_rate': 2.336e-05, 'epoch': 1.6}
{'loss': 0.0704, 'grad_norm': 0.32523009181022644, 'learning_rate': 2.3093333333333335e-05, 'epoch': 1.62}
{'loss': 0.0686, 'grad_norm': 0.3395291864871979, 'learning_rate': 2.282666666666667e-05, 'epoch': 1.63}
{'loss': 0.0691, 'grad_norm': 0.337432861328125, 'learning_rate': 2.256e-05, 'epoch': 1.65}
{'loss': 0.0666, 'grad_norm': 0.30915549397468567, 'learning_rate': 2.2293333333333336e-05, 'epoch': 1.66}
{'loss': 0.068, 'grad_norm': 0.28948599100112915, 'learning_rate': 2.2026666666666667e-05, 'epoch': 1.68}
{'loss': 0.0664, 'grad_norm': 0.348971962928772, 'learning_rate': 2.176e-05, 'epoch': 1.7}
{'loss': 0.0658, 'grad_norm': 0.2945648729801178, 'learning_rate': 2.1493333333333333e-05, 'epoch': 1.71}
{'loss': 0.0632, 'grad_norm': 0.3207378089427948, 'learning_rate': 2.1226666666666668e-05, 'epoch': 1.73}
{'loss': 0.0639, 'grad_norm': 0.2923523187637329, 'learning_rate': 2.0960000000000003e-05, 'epoch': 1.74}
{'loss': 0.0633, 'grad_norm': 0.30597978830337524, 'learning_rate': 2.0693333333333334e-05, 'epoch': 1.76}
{'loss': 0.064, 'grad_norm': 0.2962837815284729, 'learning_rate': 2.042666666666667e-05, 'epoch': 1.78}
{'loss': 0.0604, 'grad_norm': 0.3071255087852478, 'learning_rate': 2.016e-05, 'epoch': 1.79}
{'loss': 0.0611, 'grad_norm': 0.3149862587451935, 'learning_rate': 1.9893333333333335e-05, 'epoch': 1.81}
{'loss': 0.0586, 'grad_norm': 0.3123353123664856, 'learning_rate': 1.962666666666667e-05, 'epoch': 1.82}
{'loss': 0.0578, 'grad_norm': 0.2824603021144867, 'learning_rate': 1.936e-05, 'epoch': 1.84}
{'loss': 0.0598, 'grad_norm': 0.31883862614631653, 'learning_rate': 1.9093333333333336e-05, 'epoch': 1.86}
{'loss': 0.0574, 'grad_norm': 0.2732833921909332, 'learning_rate': 1.8826666666666667e-05, 'epoch': 1.87}
{'loss': 0.0571, 'grad_norm': 0.29332688450813293, 'learning_rate': 1.856e-05, 'epoch': 1.89}
{'loss': 0.0604, 'grad_norm': 0.2828163802623749, 'learning_rate': 1.8293333333333333e-05, 'epoch': 1.9}
{'loss': 0.0577, 'grad_norm': 0.25060805678367615, 'learning_rate': 1.8026666666666668e-05, 'epoch': 1.92}
{'loss': 0.0539, 'grad_norm': 0.26713013648986816, 'learning_rate': 1.7760000000000003e-05, 'epoch': 1.94}
{'loss': 0.0569, 'grad_norm': 0.2955922484397888, 'learning_rate': 1.7493333333333334e-05, 'epoch': 1.95}
{'loss': 0.0544, 'grad_norm': 0.3476767838001251, 'learning_rate': 1.722666666666667e-05, 'epoch': 1.97}
{'loss': 0.0533, 'grad_norm': 0.2727701663970947, 'learning_rate': 1.696e-05, 'epoch': 1.98}
{'loss': 0.0541, 'grad_norm': 0.30349069833755493, 'learning_rate': 1.669333333333333e-05, 'epoch': 2.0}
{'loss': 0.0539, 'grad_norm': 0.2801656723022461, 'learning_rate': 1.6426666666666666e-05, 'epoch': 2.02}
{'loss': 0.0521, 'grad_norm': 0.2906769812107086, 'learning_rate': 1.616e-05, 'epoch': 2.03}
{'loss': 0.052, 'grad_norm': 0.2466672658920288, 'learning_rate': 1.5893333333333336e-05, 'epoch': 2.05}
{'loss': 0.0511, 'grad_norm': 0.22834745049476624, 'learning_rate': 1.5626666666666667e-05, 'epoch': 2.06}
{'loss': 0.0504, 'grad_norm': 0.24979399144649506, 'learning_rate': 1.536e-05, 'epoch': 2.08}
{'loss': 0.0502, 'grad_norm': 0.2603527009487152, 'learning_rate': 1.5093333333333335e-05, 'epoch': 2.1}
{'loss': 0.0491, 'grad_norm': 0.24934644997119904, 'learning_rate': 1.4826666666666666e-05, 'epoch': 2.11}
{'loss': 0.05, 'grad_norm': 0.30703526735305786, 'learning_rate': 1.4560000000000001e-05, 'epoch': 2.13}
{'loss': 0.0511, 'grad_norm': 0.2629796266555786, 'learning_rate': 1.4293333333333334e-05, 'epoch': 2.14}
{'loss': 0.0484, 'grad_norm': 0.2317945957183838, 'learning_rate': 1.4026666666666669e-05, 'epoch': 2.16}
{'loss': 0.0474, 'grad_norm': 0.2528694272041321, 'learning_rate': 1.376e-05, 'epoch': 2.18}
{'loss': 0.0475, 'grad_norm': 0.28048136830329895, 'learning_rate': 1.3493333333333333e-05, 'epoch': 2.19}
{'loss': 0.0473, 'grad_norm': 0.21404464542865753, 'learning_rate': 1.3226666666666668e-05, 'epoch': 2.21}
{'loss': 0.0478, 'grad_norm': 0.2168581783771515, 'learning_rate': 1.296e-05, 'epoch': 2.22}
{'loss': 0.0472, 'grad_norm': 0.2851896286010742, 'learning_rate': 1.2693333333333334e-05, 'epoch': 2.24}
{'loss': 0.046, 'grad_norm': 0.23091700673103333, 'learning_rate': 1.2426666666666667e-05, 'epoch': 2.26}
{'loss': 0.0471, 'grad_norm': 0.24563877284526825, 'learning_rate': 1.216e-05, 'epoch': 2.27}
{'loss': 0.0473, 'grad_norm': 0.2494625300168991, 'learning_rate': 1.1893333333333334e-05, 'epoch': 2.29}
{'loss': 0.0455, 'grad_norm': 0.23197992146015167, 'learning_rate': 1.1626666666666668e-05, 'epoch': 2.3}
{'loss': 0.0447, 'grad_norm': 0.21325284242630005, 'learning_rate': 1.1360000000000001e-05, 'epoch': 2.32}
{'loss': 0.0451, 'grad_norm': 0.19765916466712952, 'learning_rate': 1.1093333333333333e-05, 'epoch': 2.34}
{'loss': 0.0456, 'grad_norm': 0.23269394040107727, 'learning_rate': 1.0826666666666667e-05, 'epoch': 2.35}
{'loss': 0.0458, 'grad_norm': 0.3078116774559021, 'learning_rate': 1.056e-05, 'epoch': 2.37}
{'loss': 0.0448, 'grad_norm': 0.23831304907798767, 'learning_rate': 1.0293333333333334e-05, 'epoch': 2.38}
{'loss': 0.0454, 'grad_norm': 0.23740404844284058, 'learning_rate': 1.0026666666666668e-05, 'epoch': 2.4}
{'loss': 0.0454, 'grad_norm': 0.22320811450481415, 'learning_rate': 9.760000000000001e-06, 'epoch': 2.42}
{'loss': 0.0439, 'grad_norm': 0.21092619001865387, 'learning_rate': 9.493333333333333e-06, 'epoch': 2.43}
{'loss': 0.0447, 'grad_norm': 0.19565922021865845, 'learning_rate': 9.226666666666668e-06, 'epoch': 2.45}
{'loss': 0.0437, 'grad_norm': 0.254926860332489, 'learning_rate': 8.96e-06, 'epoch': 2.46}
{'loss': 0.0435, 'grad_norm': 0.206928089261055, 'learning_rate': 8.693333333333334e-06, 'epoch': 2.48}
{'loss': 0.0434, 'grad_norm': 0.19967059791088104, 'learning_rate': 8.426666666666667e-06, 'epoch': 2.5}
{'loss': 0.044, 'grad_norm': 0.2638058364391327, 'learning_rate': 8.160000000000001e-06, 'epoch': 2.51}
{'loss': 0.0432, 'grad_norm': 0.2185719609260559, 'learning_rate': 7.893333333333333e-06, 'epoch': 2.53}
{'loss': 0.0426, 'grad_norm': 0.2091754525899887, 'learning_rate': 7.626666666666667e-06, 'epoch': 2.54}
{'loss': 0.0421, 'grad_norm': 0.19943773746490479, 'learning_rate': 7.36e-06, 'epoch': 2.56}
{'loss': 0.042, 'grad_norm': 0.20331187546253204, 'learning_rate': 7.093333333333334e-06, 'epoch': 2.58}
{'loss': 0.0419, 'grad_norm': 0.2398615926504135, 'learning_rate': 6.826666666666668e-06, 'epoch': 2.59}
{'loss': 0.0436, 'grad_norm': 0.21272866427898407, 'learning_rate': 6.560000000000001e-06, 'epoch': 2.61}
{'loss': 0.042, 'grad_norm': 0.23120856285095215, 'learning_rate': 6.293333333333333e-06, 'epoch': 2.62}
{'loss': 0.0428, 'grad_norm': 0.22278046607971191, 'learning_rate': 6.026666666666667e-06, 'epoch': 2.64}
{'loss': 0.0405, 'grad_norm': 0.18808723986148834, 'learning_rate': 5.76e-06, 'epoch': 2.66}
{'loss': 0.0417, 'grad_norm': 0.198022723197937, 'learning_rate': 5.493333333333334e-06, 'epoch': 2.67}
{'loss': 0.0417, 'grad_norm': 0.21588106453418732, 'learning_rate': 5.226666666666667e-06, 'epoch': 2.69}
{'loss': 0.0402, 'grad_norm': 0.23099148273468018, 'learning_rate': 4.96e-06, 'epoch': 2.7}
{'loss': 0.0404, 'grad_norm': 0.2398577779531479, 'learning_rate': 4.693333333333334e-06, 'epoch': 2.72}
{'loss': 0.0403, 'grad_norm': 0.20401550829410553, 'learning_rate': 4.426666666666667e-06, 'epoch': 2.74}
{'loss': 0.0403, 'grad_norm': 0.22152337431907654, 'learning_rate': 4.16e-06, 'epoch': 2.75}
{'loss': 0.0407, 'grad_norm': 0.2140614092350006, 'learning_rate': 3.893333333333334e-06, 'epoch': 2.77}
{'loss': 0.0405, 'grad_norm': 0.19264937937259674, 'learning_rate': 3.626666666666667e-06, 'epoch': 2.78}
{'loss': 0.0413, 'grad_norm': 0.20699812471866608, 'learning_rate': 3.36e-06, 'epoch': 2.8}
{'loss': 0.0417, 'grad_norm': 0.22652244567871094, 'learning_rate': 3.0933333333333335e-06, 'epoch': 2.82}
{'loss': 0.039, 'grad_norm': 0.18586516380310059, 'learning_rate': 2.8266666666666666e-06, 'epoch': 2.83}
{'loss': 0.0397, 'grad_norm': 0.20384497940540314, 'learning_rate': 2.56e-06, 'epoch': 2.85}
{'loss': 0.0397, 'grad_norm': 0.20074880123138428, 'learning_rate': 2.2933333333333335e-06, 'epoch': 2.86}
{'loss': 0.0406, 'grad_norm': 0.20610928535461426, 'learning_rate': 2.0266666666666666e-06, 'epoch': 2.88}
{'loss': 0.0395, 'grad_norm': 0.21552607417106628, 'learning_rate': 1.76e-06, 'epoch': 2.9}
{'loss': 0.0406, 'grad_norm': 0.20179596543312073, 'learning_rate': 1.4933333333333334e-06, 'epoch': 2.91}
{'loss': 0.0393, 'grad_norm': 0.19598306715488434, 'learning_rate': 1.2266666666666669e-06, 'epoch': 2.93}
{'loss': 0.0399, 'grad_norm': 0.21160008013248444, 'learning_rate': 9.6e-07, 'epoch': 2.94}
{'loss': 0.0408, 'grad_norm': 0.2374839186668396, 'learning_rate': 6.933333333333333e-07, 'epoch': 2.96}
{'loss': 0.0403, 'grad_norm': 0.24732567369937897, 'learning_rate': 4.2666666666666673e-07, 'epoch': 2.98}
{'loss': 0.041, 'grad_norm': 0.1899632215499878, 'learning_rate': 1.6e-07, 'epoch': 2.99}
{'train_runtime': 42.0408, 'train_samples_per_second': 713.592, 'train_steps_per_second': 44.599, 'train_loss': 0.31633996452490487, 'epoch': 3.0}
TinyBERT saved -> D:\Code_development\gitproduct\caisa_contest_2026\topics\topic02_web_waf\models\tinybert_waf
Set configs/default.yaml: use_semantic_branch: true
